transp_Bizr_Id,vehc_Id,vehc_Lcns_No,actual_vehc_Lcns_No,depot_Id,Seat,Stand,Deck,body_Bus_No,top_Up_Thold,alert_Thold,max_Quota_Etm,use_Yn
110100001,11438,WVJ1031,WVJ1031,BCV,30,34,Single,MA4,2000,100,3500,Y
110100001,11442,WVJ931,WVJ931,BCV,30,34,Single,MA4,2000,100,3500,Y
110100001,11447,WVH7650,WVH7650,BCV,30,34,Single,T048,2000,100,3500,Y
110100001,11448,WVJ1049,WVJ1049,BCV,30,34,Single,T063,2000,100,3500,Y
110100001,11450,WVJ894,WVJ894,BCV,30,34,Single,T072,2000,100,3500,Y
110100001,11452,XBK1032,WB1032K,BCV,29,30,Single,E211,2000,100,3500,Y
110100001,11454,WVJ8196,WVJ8196,BCV,30,34,Single,T088,2000,100,3500,Y
110100001,11458,WVJ8197,WVJ8197,BCV,30,34,Single,T071,2000,100,3500,Y
110100001,11461,WVJ8295,WVJ8295,BCV,30,34,Single,T078,2000,100,3500,Y
110100001,11462,WVJ8244,WVJ8244,BCV,30,34,Single,T080,2000,100,3500,Y
110100001,11463,WVJ8274,WVJ8274,BCV,30,34,Single,T098,2000,100,3500,Y
110100001,11465,WVJ8227,WVJ8227,BCV,30,34,Single,T068,2000,100,3500,Y
110100001,11468,WVL659,WVL659,BCV,30,34,Single,T082,2000,100,3500,Y
110100001,11469,WVL649,WVL649,BCV,30,34,Single,T084,2000,100,3500,Y
110100001,11470,WVL614,WVL614,BCV,30,34,Single,T085,2000,100,3500,Y
110100001,11471,WVL581,WVL581,BCV,30,34,Single,T086,2000,100,3500,Y
110100001,11473,WVL743,WVL743,BCV,30,34,Single,T088,2000,100,3500,Y
110100001,11475,WVL739,WVL739,BCV,30,34,Single,T090,2000,100,3500,Y
110100001,11476,WVL634,WVL634,BCV,30,34,Single,T092,2000,100,3500,Y
110100001,11477,WVL592,WVL592,BCV,30,34,Single,T094,2000,100,3500,Y
110100001,11481,WVL693,WVL693,BCV,30,34,Single,T103,2000,100,3500,Y
110100001,11482,WVL617,WVL617,BCV,30,34,Single,T104,2000,100,3500,Y
110100001,11483,WVL602,WVL602,BCV,30,34,Single,T105,2000,100,3500,Y
110100001,11486,WVH9549,WVH9549,BCV,30,34,Single,S,2000,100,3500,Y
110100001,11487,WVG3358,WVG3358,BCV,30,34,Single,S,2000,100,3500,Y
110100001,11488,WVG3401,WVG3401,BCV,30,34,Single,S,2000,100,3500,Y
110100001,11489,WVN5531,WVN5531,BCV,30,34,Single,MAN,2000,100,3500,Y
110100001,11490,WVN5601,WVN5601,BCV,30,34,Single,MAN,2000,100,3500,Y
110100001,11491,WVN5571,WVN5571,BCV,30,34,Single,MAN,2000,100,3500,Y
110100001,11492,WVN5576,WVN5576,BCV,30,34,Single,MAN,2000,100,3500,Y
110100001,11493,WVN5547,WVN5547,BCV,30,34,Single,MAN,2000,100,3500,Y
110100001,11494,WVN5432,WVN5432,BCV,30,34,Single,MAN,2000,100,3500,Y
110100001,11495,WVN5539,WVN5539,BCV,30,34,Single,MAN,2000,100,3500,Y
110100001,11496,WVN5509,WVN5509,BCV,30,34,Single,MAN,2000,100,3500,Y
110100001,11497,WVN5644,WVN5644,BCV,30,34,Single,MAN,2000,100,3500,Y
110100001,11498,WVN5617,WVN5617,BCV,30,34,Single,MAN,2000,100,3500,Y
110100001,11499,WVN5394,WVN5394,BCV,30,34,Single,MAN,2000,100,3500,Y
110100001,11500,WVN5489,WVN5489,BCV,30,34,Single,MAN,2000,100,3500,Y
110100001,11501,WVN5548,WVN5548,BCV,30,34,Single,MAN,2000,100,3500,Y
110100001,11502,WVN5478,WVN5478,BCV,30,34,Single,MAN,2000,100,3500,Y
110100001,11503,WVN5492,WVN5492,BCV,30,34,Single,MAN,2000,100,3500,Y
110100001,11504,WVN5622,WVN5622,BCV,30,34,Single,MAN,2000,100,3500,Y
110100001,11505,WVN7805,WVN7805,BCV,30,34,Single,MAN,2000,100,3500,Y
110100001,11507,WVN5408,WVN5408,BCV,30,34,Single,MAN,2000,100,3500,Y
110100001,11508,WVP2487,WVP2487,BCV,30,34,Single,MAN,2000,100,3500,Y
110100001,11509,WVN7853,WVN7853,BCV,30,34,Single,T121,2000,100,3500,Y
110100001,11511,WVN7754,WVN7754,BCV,30,34,Single,T150,2000,100,3500,Y
110100001,11512,WVP2558,WVP2558,BCV,30,34,Single,T133,2000,100,3500,Y
110100001,11513,WVP2546,WVP2546,BCV,30,34,Single,T144,2000,100,3500,Y
110100001,11514,WVP2536,WVP2536,BCV,30,34,Single,T148,2000,100,3500,Y
110100001,11515,WVP2518,WVP2518,BCV,30,34,Single,T149,2000,100,3500,Y
110100001,11517,WVP2513,WVP2513,BCV,30,34,Single,T143,2000,100,3500,Y
110100001,11518,WVP2467,WVP2467,BCV,30,34,Single,T147,2000,100,3500,Y
110100001,11520,WVP2493,WVP2493,BCV,30,34,Single,T145,2000,100,3500,Y
110100001,11522,WVP2448,WVP2448,BCV,30,34,Single,T139,2000,100,3500,Y
110100001,11523,WVP2440,WVP2440,BCV,30,34,Single,T140,2000,100,3500,Y
110100001,11531,XIQ9423,W9423Q,BCV,41,28,Single,W942,2000,100,3500,Y
110100001,11533,WVN7823,WVN7823,BCV,30,34,Single,T131,2000,100,3500,Y
110100001,11539,WVN7817,WVN7817,BCV,30,34,Single,P,2000,100,3500,Y
110100001,11541,WVF5646,WVF5646,BCV,30,34,Single,S316,2000,100,3500,Y
110100001,11543,WVP2482,WVP2482,BCV,30,34,Single,M,2000,100,3500,Y
110100001,11544,WVP2531,WVP2531,BCV,30,34,Single,M,2000,100,3500,Y
110100001,11553,WVU6187,WVU6187,BCV,20,15,Single,E001,2000,100,3500,Y
110100001,11556,WVU9785,WVU9785,BCV,20,15,Single,E014,2000,100,3500,Y
110100001,11557,WVU7013,WVU7013,BCV,20,15,Single,E004,2000,100,3500,Y
110100001,11558,WVU6385,WVU6385,BCV,20,15,Single,E003,2000,100,3500,Y
110100001,11559,WVU9664,WVU9664,BCV,20,15,Single,E002,2000,100,3500,Y
110100001,11562,WVU9576,WVU9576,BCV,20,15,Single,E012,2000,100,3500,Y
110100001,11563,WVW4890,WVW4890,BCV,20,15,Single,E011,2000,100,3500,Y
110100001,11564,WVX7743,WVX7743,BCV,20,15,Single,E017,2000,100,3500,Y
110100001,11565,WVV7582,WVV7582,BCV,20,15,Single,E013,2000,100,3500,Y
110100001,11566,WVU9763,WVU9763,BCV,20,15,Single,E010,2000,100,3500,Y
110100001,11568,WVW4762,WVW4762,BCV,20,15,Single,AJ5,2000,100,3500,Y
110100001,11569,WVX7827,WVX7827,BCV,20,15,Single,AJ5,2000,100,3500,Y
110100001,11570,WVV7225,WVV7225,BCV,20,15,Single,AJ5,2000,100,3500,Y
110100001,11571,WVX7919,WVX7919,BCV,20,15,Single,AJ5,2000,100,3500,Y
110100001,11573,WVX7584,WVX7584,BCV,20,15,Single,AJ5,2000,100,3500,Y
110100001,11579,WVY540,WVY540,BCV,20,15,Single,AJ5,2000,100,3500,Y
110100001,11582,WVX7595,WVX7595,BCV,20,15,Single,AJ5,2000,100,3500,Y
110100001,11583,WWA4035,WWA4035,BCV,20,15,Single,AJ5,2000,100,3500,Y
110100001,11584,WWA4049,WWA4049,BCV,20,15,Single,AJ5,2000,100,3500,Y
110100001,11585,WVX7579,WVX7579,BCV,20,15,Single,AJ5,2000,100,3500,Y
110100001,11586,WWA7021,WWA7021,BCV,20,15,Single,AJ5,2000,100,3500,Y
110100001,11587,WWA3965,WWA3965,BCV,20,15,Single,AJ5,2000,100,3500,Y
110100001,11590,WWA6957,WWA6957,BCV,20,15,Single,PD3,2000,100,3500,Y
110100001,11591,WWB5479,WWB5479,BCV,20,15,Single,PD3,2000,100,3500,Y
110100001,11593,WWA6978,WWA6978,BCV,20,15,Single,PD3,2000,100,3500,Y
110100001,11595,WWB5483,WWB5483,BCV,20,15,Single,PD3,2000,100,3500,Y
110100001,11598,WWB5386,WWB5386,BCV,20,15,Single,PD3,2000,100,3500,Y
110100001,11600,WWB5476,WWB5476,BCV,20,15,Single,PD3,2000,100,3500,Y
